,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
132,"yonex badminton racket nanoray series 2018 with full cover professional graphite carbon shaft light weight competition racquet high tension fast speed performance (nr18i-black, pack of 1)",8830.0,14096.0,,,,,yonex badminton racket nanoray series 2018 with full cover professional graphite carbon shaft light weight competition racquet high tension fast speed performance,black,pack of 1,No,
133,yonex aluminum badminton racquet zr111 light g4 u (lime ),575.0,750.0,,,,,yonex aluminum badminton racquet zr111 light g4 u,lime,,No,
134,yonex gr 303i made in india pack of 2 with mavis 200i shuttlecock combo |made in india|,1680.0,2265.0,,,,,yonex gr 303i made in india with mavis 200i shuttlecock combo |made in india|,,pack of 2,No,
135,yonex astrox 99 play badminton racket (white tiger) (4ug5) (pre-strung),14718.0,18999.0,,,,,yonex astrox 99 play badminton racket,white,,No,
136,yonex badminton racquet voltric lite 20i,1899.0,2990.0,,,,,yonex badminton racquet voltric lite 20i,,,No,
137,yonex aluminum badminton racquets and 2 pieces shuttlecock super value combo two - alpha black,1280.0,1669.0,,,,,yonex aluminum badminton racquets and 2 pieces shuttlecock super value combo two - alpha,black,,No,
138,yonex zr 100l m200i aluminum strung badminton racquet (blue) with full cover,1813.0,2430.0,,,,,yonex zr 100l m200i aluminum strung badminton racquet with full cover,blue,,No,
139,yonex gr 303f aluminum strung badminton racquet,1899.0,2175.0,,,,,yonex gr 303f aluminum strung badminton racquet,,,No,
140,yonex gr 303f aluminum strung badminton racquet,1253.0,1970.0,,,,,yonex gr 303f aluminum strung badminton racquet,,,No,
141,yonex gr 303f aluminum strung badminton racquet,1267.2,1500.0,,,,,yonex gr 303f aluminum strung badminton racquet,,,No,
142,"yonex graphite badminton racquet astrox100zz (kurenai, g4, 83 grams, 28lbs tension)",16603.0,17990.0,,,,,yonex graphite badminton racquet astrox100zz,,,No,
143,"yonex badminton racquet astrox lite 21i,graphite, black",1819.0,2990.0,,,,,"yonex badminton racquet astrox lite 21i,graphite,",black,,No,
144,"yonex arcsaber 11 pro badminton racquet - unstrung (4u,g5) ,grey,graphite",14415.0,19595.0,,,,,"yonex arcsaber 11 pro badminton racquet - unstrung ,,graphite",grey,,No,
145,yonex badminton champion racquet bag 22926t bt6-sr,7109.0,7899.0,,,,,yonex badminton champion racquet bag 22926t bt6-sr,,,No,
146,yonex badminton champion racquet bag 22926t bt6-sr,5588.0,7899.0,,,,,yonex badminton champion racquet bag 22926t bt6-sr,,,No,
147,"yonex nanoray 6000i g4-u aluminum badminton racquet with full cover (red) & yonex mavis 10 nylon shuttlecock, yellow, pack of 6 | made in japan (green cap)",2093.0,2093.0,,,,,"yonex nanoray 6000i g4-u aluminum badminton racquet with full cover & yonex mavis 10 nylon shuttlecock, , | made in japan","red, yellow, green",pack of 6,No,
148,"yonex graphite badminton racquet smash ( black flash red , g4 , 73 grams , 28 lbs tension)",2409.0,4190.0,,,,,yonex graphite badminton racquet smash,"black, red",,No,
149,"yonex voltric lite 20-i strung graphite badminton racquet, blue/lime",1843.0,2790.0,,,,,"yonex voltric lite 20-i strung graphite badminton racquet, /","blue, lime",,No,
150,yonex bn152c pro badminton net (maroon),2490.0,,,,,,yonex bn152c pro badminton net,maroon,,No,
151,yonex badminton full cover for astrox racquet,499.0,599.0,,,,,yonex badminton full cover for astrox racquet,,,No,
152,"yonex astrox 01 badminton racquet (rotational generator system, aero + box frame, 28 lbs tension)",2199.0,3150.0,,,,,yonex astrox 01 badminton racquet,,,No,
153,"yonex astrox 01 badminton racquet (rotational generator system, aero + box frame, 28 lbs tension)",1898.59,3150.0,,,,,yonex astrox 01 badminton racquet,,,No,
154,"yonex unisex astrox smash graphite badminton racquet with full cover, rotational generator system (ultra light - 73 grams, 28 lbs tension, navy white blue)",2257.0,3150.0,,,,,"yonex unisex astrox smash graphite badminton racquet with full cover, rotational generator system","navy, white, blue",,No,
155,"yonex graphite badminton racquet, muscle power 22lt black blue",2310.0,3590.0,,,,,"yonex graphite badminton racquet, muscle power 22lt","black, blue",,No,
156,"yonex arcsaber 71 light white graphite badminton racquet with free full cover (77 grams, 30 lbs tension)",2294.0,3150.0,,,,,yonex arcsaber 71 light graphite badminton racquet with free full cover,white,,No,
157,"yonex muscle power graphite 29 light badminton racquet (blue, g4, 80-84.9 grams, 30 lbs tension)",3395.0,4200.0,,,,,yonex muscle power graphite 29 light badminton racquet,blue,,No,
158,yonex zr 100 light aluminium badminton racquet with full cover | made in india(set of 1) | blue,483.84,750.0,,,,,yonex zr 100 light aluminium badminton racquet with full cover | made in india |,blue,,No,
159,yonex gr 303 strung aluminum badminton racquet with half cover (silver),750.0,1029.0,,,,,yonex gr 303 strung aluminum badminton racquet with half cover,silver,,No,
